sale_id,product_id,date,quantity_sold,store_id,source_sales_amount,product_name,category,price_per_unit,supplier_id,reorder_point,lead_time,store_name,location,supplier_name,lead_time_supplier,net_unit_price,revenue,estimated_unit_cost,gross_profit,gross_margin_pct,sale_month,quarter
167,7,2023-05-10,31,1,411.95,Milk,Groceries,72.37,12,6,7,All-In-One Mart ,Delhi-NCR,Shubham,10,76.71220000000001,2378.0782000000004,44.869400000000006,987.1268000000002,0.41509433962264153,2023-05,2
695,7,2023-04-02,15,1,477.27,Milk,Groceries,72.37,12,6,7,All-In-One Mart ,Delhi-NCR,Shubham,10,77.4359,1161.5385,44.869400000000006,488.49750000000006,0.4205607476635514,2023-04,2
869,7,2023-02-21,12,1,426.86,Milk,Groceries,72.37,12,6,7,All-In-One Mart ,Delhi-NCR,Shubham,10,68.02780000000001,816.3336000000002,44.869400000000006,277.9008000000001,0.3404255319148937,2023-02,1
1562,7,2023-02-04,32,1,486.18,Milk,Groceries,72.37,12,6,7,All-In-One Mart ,Delhi-NCR,Shubham,10,77.4359,2477.9488,44.869400000000006,1042.128,0.42056074766355134,2023-02,1
1438,8,2023-05-24,9,1,426.57,Lego Set,Toys,74.89,8,20,1,All-In-One Mart ,Delhi-NCR,Rakesh,3,76.3878,687.4902,46.4318,269.6039999999999,0.392156862745098,2023-05,2
494,8,2023-02-05,31,1,147.11,Lego Set,Toys,74.89,8,20,1,All-In-One Mart ,Delhi-NCR,Rakesh,3,69.6477,2159.0787,46.4318,719.6929,0.3333333333333333,2023-02,1
949,10,2023-12-18,10,1,232.32,Bread,Groceries,48.27,5,13,4,All-In-One Mart ,Delhi-NCR,Ram,9,55.259496000000006,552.59496,29.927400000000002,253.32096,0.4584206848357792,2023-12,4
551,10,2023-12-17,18,1,93.78,Bread,Groceries,48.27,5,13,4,All-In-One Mart ,Delhi-NCR,Ram,9,51.61028400000001,928.9851120000001,29.927400000000002,390.291912,0.42012719790497566,2023-12,4
535,10,2023-12-09,4,1,209.13,Bread,Groceries,48.27,5,13,4,All-In-One Mart ,Delhi-NCR,Ram,9,52.131600000000006,208.52640000000002,29.927400000000002,88.81680000000001,0.42592592592592593,2023-12,4
638,10,2023-11-21,50,1,204.41,Bread,Groceries,48.27,5,13,4,All-In-One Mart ,Delhi-NCR,Ram,9,52.652916000000005,2632.6458000000002,29.927400000000002,1136.2758000000001,0.4316098276494316,2023-11,4
694,10,2023-10-20,24,1,253.51,Bread,Groceries,48.27,5,13,4,All-In-One Mart ,Delhi-NCR,Ram,9,55.259496000000006,1326.227904,29.927400000000002,607.970304,0.4584206848357792,2023-10,4
310,10,2023-09-19,41,1,267.65,Bread,Groceries,48.27,5,13,4,All-In-One Mart ,Delhi-NCR,Ram,9,46.339200000000005,1899.9072,29.927400000000002,672.8838000000001,0.3541666666666667,2023-09,3
955,10,2023-07-03,33,1,148.47,Bread,Groceries,48.27,5,13,4,All-In-One Mart ,Delhi-NCR,Ram,9,45.856500000000004,1513.2645000000002,29.927400000000002,525.6603000000001,0.3473684210526316,2023-07,3
967,10,2023-05-29,43,1,129.09,Bread,Groceries,48.27,5,13,4,All-In-One Mart ,Delhi-NCR,Ram,9,51.648900000000005,2220.9027,29.927400000000002,934.0245,0.4205607476635514,2023-05,2
1526,10,2023-03-01,9,1,242.36,Bread,Groceries,48.27,5,13,4,All-In-One Mart ,Delhi-NCR,Ram,9,50.6835,456.1515,29.927400000000002,186.80489999999998,0.40952380952380946,2023-03,1
765,10,2023-01-18,19,1,162.76,Bread,Groceries,48.27,5,13,4,All-In-One Mart ,Delhi-NCR,Ram,9,44.40840000000001,843.7596000000001,29.927400000000002,275.139,0.3260869565217391,2023-01,1
1457,11,2023-11-14,22,1,259.79,Cheese,Groceries,59.94,6,5,2,All-In-One Mart ,Delhi-NCR,Ganesh,3,67.32460800000001,1481.1413760000003,37.1628,663.5597760000003,0.4480056980056981,2023-11,4
131,11,2023-08-29,2,1,499.95,Cheese,Groceries,59.94,6,5,2,All-In-One Mart ,Delhi-NCR,Ganesh,3,62.3376,124.6752,37.1628,50.34960000000001,0.4038461538461539,2023-08,3
1906,11,2023-05-31,33,1,394.01,Cheese,Groceries,59.94,6,5,2,All-In-One Mart ,Delhi-NCR,Ganesh,3,56.3436,1859.3388,37.1628,632.9664,0.3404255319148936,2023-05,2
277,11,2023-02-17,28,1,373.57,Cheese,Groceries,59.94,6,5,2,All-In-One Mart ,Delhi-NCR,Ganesh,3,58.1418,1627.9704000000002,37.1628,587.4120000000003,0.36082474226804134,2023-02,1
652,12,2023-12-27,7,1,110.64,Headphones,Electronics,66.22,13,17,10,All-In-One Mart ,Delhi-NCR,Raju,7,70.087248,490.61073600000003,41.0564,203.21593600000006,0.4142101284958429,2023-12,4
867,12,2023-09-19,5,1,452.87,Headphones,Electronics,66.22,13,17,10,All-In-One Mart ,Delhi-NCR,Raju,7,60.9224,304.612,41.0564,99.33000000000004,0.32608695652173925,2023-09,3
1287,12,2023-08-16,33,1,400.52,Headphones,Electronics,66.22,13,17,10,All-In-One Mart ,Delhi-NCR,Raju,7,68.86880000000001,2272.6704000000004,41.0564,917.8092000000006,0.403846153846154,2023-08,3
1613,12,2023-05-02,39,1,387.73,Headphones,Electronics,66.22,13,17,10,All-In-One Mart ,Delhi-NCR,Raju,7,70.8554,2763.3606,41.0564,1162.161,0.42056074766355145,2023-05,2
1706,12,2023-03-06,9,1,99.45,Headphones,Electronics,66.22,13,17,10,All-In-One Mart ,Delhi-NCR,Raju,7,64.8956,584.0604000000001,41.0564,214.5528000000001,0.36734693877551033,2023-03,1
336,13,2023-09-17,50,1,332.65,Camera,Electronics,54.26,7,18,3,All-In-One Mart ,Delhi-NCR,Hari,3,56.973,2848.65,33.6412,1166.5900000000001,0.40952380952380957,2023-09,3
662,13,2023-03-13,49,1,296.84,Camera,Electronics,54.26,7,18,3,All-In-One Mart ,Delhi-NCR,Hari,3,58.6008,2871.4392,33.6412,1223.0203999999999,0.42592592592592593,2023-03,1
1263,14,2023-10-20,47,1,244.41,Puzzle,Toys,29.02,10,17,10,All-In-One Mart ,Delhi-NCR,Krishna,2,30.401352000000006,1428.8635440000003,17.9924,583.2207440000003,0.40817105765559386,2023-10,4
1674,14,2023-06-15,10,1,45.13,Puzzle,Toys,29.02,10,17,10,All-In-One Mart ,Delhi-NCR,Krishna,2,29.02,290.2,17.9924,110.27599999999998,0.37999999999999995,2023-06,2
976,14,2023-03-31,42,1,421.69,Puzzle,Toys,29.02,10,17,10,All-In-One Mart ,Delhi-NCR,Krishna,2,28.7298,1206.6516000000001,17.9924,450.97080000000017,0.3737373737373738,2023-03,1
70,14,2023-03-10,17,1,445.41,Puzzle,Toys,29.02,10,17,10,All-In-One Mart ,Delhi-NCR,Krishna,2,27.2788,463.7396,17.9924,157.86880000000002,0.34042553191489366,2023-03,1
1862,14,2023-02-22,1,1,298.48,Puzzle,Toys,29.02,10,17,10,All-In-One Mart ,Delhi-NCR,Krishna,2,29.3102,29.3102,17.9924,11.317799999999998,0.3861386138613861,2023-02,1
1731,15,2023-11-13,15,1,283.18,Table,Home Goods,74.72,3,8,10,All-In-One Mart ,Delhi-NCR,Mukesh,5,85.53945600000002,1283.0918400000003,46.3264,588.1958400000003,0.4584206848357793,2023-11,4
1432,15,2023-06-16,15,1,122.37,Table,Home Goods,74.72,3,8,10,All-In-One Mart ,Delhi-NCR,Mukesh,5,71.7312,1075.968,46.3264,381.0720000000001,0.35416666666666674,2023-06,2
246,15,2023-03-13,3,1,155.66,Table,Home Goods,74.72,3,8,10,All-In-One Mart ,Delhi-NCR,Mukesh,5,74.72,224.16,46.3264,85.1808,0.38,2023-03,1
1297,15,2023-01-08,40,1,107.26,Table,Home Goods,74.72,3,8,10,All-In-One Mart ,Delhi-NCR,Mukesh,5,72.47840000000001,2899.1360000000004,46.3264,1046.0800000000004,0.36082474226804134,2023-01,1
1790,16,2023-11-26,36,1,100.25,Chair,Home Goods,82.35,9,11,7,All-In-One Mart ,Delhi-NCR,Manoj,7,86.26986000000001,3105.7149600000002,51.056999999999995,1267.6629600000003,0.4081710576555938,2023-11,4
890,16,2023-09-12,48,1,55.81,Chair,Home Goods,82.35,9,11,7,All-In-One Mart ,Delhi-NCR,Manoj,7,80.70299999999999,3873.7439999999997,51.056999999999995,1423.0079999999998,0.36734693877551017,2023-09,3
1514,16,2023-07-11,33,1,423.41,Chair,Home Goods,82.35,9,11,7,All-In-One Mart ,Delhi-NCR,Manoj,7,76.5855,2527.3215,51.056999999999995,842.4405000000002,0.33333333333333337,2023-07,3
1967,16,2023-04-29,14,1,181.51,Chair,Home Goods,82.35,9,11,7,All-In-One Mart ,Delhi-NCR,Manoj,7,85.64399999999999,1199.0159999999998,51.056999999999995,484.21799999999996,0.40384615384615385,2023-04,2
1177,16,2023-04-27,48,1,318.77,Chair,Home Goods,82.35,9,11,7,All-In-One Mart ,Delhi-NCR,Manoj,7,79.056,3794.688,51.056999999999995,1343.9520000000002,0.35416666666666674,2023-04,2
1774,17,2023-12-27,33,1,348.76,Bed,Home Goods,5.61,6,20,1,All-In-One Mart ,Delhi-NCR,Ganesh,3,5.9376240000000005,195.941592,3.4782,81.16099200000001,0.41421012849584277,2023-12,4
815,17,2023-11-28,12,1,115.77,Bed,Home Goods,5.61,6,20,1,All-In-One Mart ,Delhi-NCR,Ganesh,3,6.543504000000001,78.52204800000001,3.4782,36.783648000000014,0.4684499314128945,2023-11,4
126,17,2023-11-15,35,1,453.93,Bed,Home Goods,5.61,6,20,1,All-In-One Mart ,Delhi-NCR,Ganesh,3,5.9982120000000005,209.93742000000003,3.4782,88.20042000000002,0.4201271979049757,2023-11,4
1115,17,2023-08-13,47,1,120.24,Bed,Home Goods,5.61,6,20,1,All-In-One Mart ,Delhi-NCR,Ganesh,3,5.722200000000001,268.94340000000005,3.4782,105.46800000000005,0.39215686274509814,2023-08,3
403,17,2023-08-10,33,1,416.54,Bed,Home Goods,5.61,6,20,1,All-In-One Mart ,Delhi-NCR,Ganesh,3,5.8344000000000005,192.5352,3.4782,77.7546,0.4038461538461538,2023-08,3
417,17,2023-07-09,33,1,162.96,Bed,Home Goods,5.61,6,20,1,All-In-One Mart ,Delhi-NCR,Ganesh,3,5.6661,186.9813,3.4782,72.2007,0.3861386138613861,2023-07,3
1577,17,2023-07-07,23,1,383.77,Bed,Home Goods,5.61,6,20,1,All-In-One Mart ,Delhi-NCR,Ganesh,3,5.8905,135.4815,3.4782,55.4829,0.4095238095238095,2023-07,3
1919,17,2023-06-06,48,1,252.4,Bed,Home Goods,5.61,6,20,1,All-In-One Mart ,Delhi-NCR,Ganesh,3,6.002700000000001,288.12960000000004,3.4782,121.17600000000004,0.4205607476635515,2023-06,2
684,17,2023-05-18,47,1,386.86,Bed,Home Goods,5.61,6,20,1,All-In-One Mart ,Delhi-NCR,Ganesh,3,5.385600000000001,253.12320000000005,3.4782,89.64780000000005,0.3541666666666668,2023-05,2
852,17,2023-04-19,47,1,296.9,Bed,Home Goods,5.61,6,20,1,All-In-One Mart ,Delhi-NCR,Ganesh,3,5.2734000000000005,247.84980000000002,3.4782,84.37440000000001,0.3404255319148936,2023-04,2
1323,18,2023-10-25,49,1,379.75,Tablet,Electronics,11.63,14,18,5,All-In-One Mart ,Delhi-NCR,Pramod,3,13.314024000000002,652.3871760000001,7.2106,299.06777600000004,0.4584206848357792,2023-10,4
24,18,2023-09-18,32,1,379.11,Tablet,Electronics,11.63,14,18,5,All-In-One Mart ,Delhi-NCR,Pramod,3,11.5137,368.4384,7.2106,137.6992,0.3737373737373737,2023-09,3
721,18,2023-03-04,1,1,416.03,Tablet,Electronics,11.63,14,18,5,All-In-One Mart ,Delhi-NCR,Pramod,3,11.5137,11.5137,7.2106,4.3031,0.3737373737373737,2023-03,1
2,18,2023-02-22,44,1,297.29,Tablet,Electronics,11.63,14,18,5,All-In-One Mart ,Delhi-NCR,Pramod,3,10.932200000000002,481.0168000000001,7.2106,163.75040000000007,0.34042553191489366,2023-02,1
1396,18,2023-01-19,13,1,361.27,Tablet,Electronics,11.63,14,18,5,All-In-One Mart ,Delhi-NCR,Pramod,3,10.932200000000002,142.11860000000001,7.2106,48.38080000000001,0.3404255319148936,2023-01,1
705,19,2023-12-31,18,1,26.73,Plush Toy,Toys,21.21,12,10,3,All-In-One Mart ,Delhi-NCR,Shubham,10,22.906800000000004,412.3224000000001,13.1502,175.61880000000008,0.42592592592592604,2023-12,4
1197,19,2023-12-22,45,1,191.42,Plush Toy,Toys,21.21,12,10,3,All-In-One Mart ,Delhi-NCR,Shubham,10,22.677732000000002,1020.4979400000001,13.1502,428.73894000000007,0.4201271979049757,2023-12,4
757,19,2023-06-19,48,1,122.81,Plush Toy,Toys,21.21,12,10,3,All-In-One Mart ,Delhi-NCR,Shubham,10,21.4221,1028.2608,13.1502,397.0512,0.38613861386138615,2023-06,2
1247,19,2023-04-02,50,1,212.69,Plush Toy,Toys,21.21,12,10,3,All-In-One Mart ,Delhi-NCR,Shubham,10,20.785800000000002,1039.2900000000002,13.1502,381.7800000000002,0.36734693877551033,2023-04,2
1133,20,2023-12-26,35,1,67.28,Sweater,Clothing,51.21,17,8,8,All-In-One Mart ,Delhi-NCR,Ashok,8,56.966004000000005,1993.8101400000003,31.7502,882.5531400000002,0.44264653002517085,2023-12,4
1130,20,2023-07-10,50,1,128.12,Sweater,Clothing,51.21,17,8,8,All-In-One Mart ,Delhi-NCR,Ashok,8,51.21,2560.5,31.7502,972.99,0.38,2023-07,3
791,20,2023-03-17,37,1,462.84,Sweater,Clothing,51.21,17,8,8,All-In-One Mart ,Delhi-NCR,Ashok,8,51.722100000000005,1913.7177000000001,31.7502,738.9603000000002,0.3861386138613862,2023-03,1
1192,20,2023-02-13,8,1,125.31,Sweater,Clothing,51.21,17,8,8,All-In-One Mart ,Delhi-NCR,Ashok,8,48.13740000000001,385.09920000000005,31.7502,131.09760000000006,0.3404255319148937,2023-02,1
1451,21,2023-12-27,30,1,488.33,Eggs,Groceries,82.37,6,11,1,All-In-One Mart ,Delhi-NCR,Ganesh,3,87.18040800000001,2615.4122400000006,51.0694,1083.3302400000005,0.4142101284958429,2023-12,4
1426,21,2023-12-10,3,1,324.21,Eggs,Groceries,82.37,6,11,1,All-In-One Mart ,Delhi-NCR,Ganesh,3,95.18677200000002,285.56031600000006,51.0694,132.35211600000005,0.4634821737625477,2023-12,4
1124,21,2023-11-19,47,1,373.64,Eggs,Groceries,82.37,6,11,1,All-In-One Mart ,Delhi-NCR,Ganesh,3,83.62202400000001,3930.2351280000003,51.0694,1529.973328,0.3892828999211978,2023-11,4
1727,21,2023-11-07,32,1,397.77,Eggs,Groceries,82.37,6,11,1,All-In-One Mart ,Delhi-NCR,Ganesh,3,90.738792,2903.641344,51.0694,1269.420544,0.4371822803195352,2023-11,4
1485,21,2023-10-01,20,1,460.61,Eggs,Groceries,82.37,6,11,1,All-In-One Mart ,Delhi-NCR,Ganesh,3,87.18040800000001,1743.6081600000002,51.0694,722.2201600000002,0.4142101284958428,2023-10,4
841,21,2023-09-08,49,1,69.06,Eggs,Groceries,82.37,6,11,1,All-In-One Mart ,Delhi-NCR,Ganesh,3,82.37,4036.13,51.0694,1533.7294000000002,0.38,2023-09,3
647,21,2023-08-14,30,1,495.96,Eggs,Groceries,82.37,6,11,1,All-In-One Mart ,Delhi-NCR,Ganesh,3,76.6041,2298.123,51.0694,766.0409999999999,0.3333333333333333,2023-08,3
137,21,2023-06-09,7,1,464.8,Eggs,Groceries,82.37,6,11,1,All-In-One Mart ,Delhi-NCR,Ganesh,3,76.6041,536.2287,51.0694,178.74289999999996,0.33333333333333326,2023-06,2
767,21,2023-02-08,36,1,172.29,Eggs,Groceries,82.37,6,11,1,All-In-One Mart ,Delhi-NCR,Ganesh,3,77.4278,2787.4008000000003,51.0694,948.9024000000004,0.3404255319148937,2023-02,1
1406,22,2023-10-30,5,1,61.52,Jacket,Clothing,81.87,7,13,7,All-In-One Mart ,Delhi-NCR,Hari,3,91.95638400000001,459.78192000000007,50.7594,205.98492000000007,0.4480056980056981,2023-10,4
946,22,2023-10-03,35,1,315.33,Jacket,Clothing,81.87,7,13,7,All-In-One Mart ,Delhi-NCR,Hari,3,91.07218800000003,3187.526580000001,50.7594,1410.9475800000012,0.442646530025171,2023-10,4
1128,22,2023-05-22,38,1,200.93,Jacket,Clothing,81.87,7,13,7,All-In-One Mart ,Delhi-NCR,Hari,3,80.2326,3048.8388,50.7594,1119.9816,0.3673469387755102,2023-05,2
853,22,2023-03-05,24,1,190.72,Jacket,Clothing,81.87,7,13,7,All-In-One Mart ,Delhi-NCR,Hari,3,77.77650000000001,1866.6360000000004,50.7594,648.4104000000004,0.3473684210526317,2023-03,1
1419,23,2023-11-09,45,1,300.15,Doll,Toys,64.55,20,8,3,All-In-One Mart ,Delhi-NCR,Rohit,2,69.714,3137.13,40.021,1336.1850000000002,0.425925925925926,2023-11,4
1730,23,2023-09-15,3,1,172.18,Doll,Toys,64.55,20,8,3,All-In-One Mart ,Delhi-NCR,Rohit,2,67.7775,203.3325,40.021,83.26950000000001,0.40952380952380957,2023-09,3
1012,23,2023-09-01,40,1,439.49,Doll,Toys,64.55,20,8,3,All-In-One Mart ,Delhi-NCR,Rohit,2,65.1955,2607.8199999999997,40.021,1006.9799999999996,0.38613861386138604,2023-09,3
1320,23,2023-06-07,26,1,301.14,Doll,Toys,64.55,20,8,3,All-In-One Mart ,Delhi-NCR,Rohit,2,66.48649999999999,1728.649,40.021,688.1029999999998,0.3980582524271844,2023-06,2
1286,23,2023-02-27,24,1,390.01,Doll,Toys,64.55,20,8,3,All-In-One Mart ,Delhi-NCR,Rohit,2,66.48649999999999,1595.676,40.021,635.1719999999999,0.3980582524271844,2023-02,1
360,24,2023-12-07,43,1,264.12,Smartwatch,Electronics,32.85,13,8,5,All-In-One Mart ,Delhi-NCR,Raju,7,33.704100000000004,1449.2763000000002,20.367,573.4953000000002,0.3957115009746589,2023-12,4
1799,24,2023-05-11,50,1,81.34,Smartwatch,Electronics,32.85,13,8,5,All-In-One Mart ,Delhi-NCR,Raju,7,34.821000000000005,1741.0500000000002,20.367,722.7000000000002,0.4150943396226416,2023-05,2
1878,24,2023-01-04,24,1,41.5,Smartwatch,Electronics,32.85,13,8,5,All-In-One Mart ,Delhi-NCR,Raju,7,32.85,788.4000000000001,20.367,299.5920000000001,0.38000000000000006,2023-01,1
1525,25,2023-10-14,40,1,211.59,Speaker,Electronics,37.5,19,12,8,All-In-One Mart ,Delhi-NCR,Rahul,4,42.120000000000005,1684.8000000000002,23.25,754.8000000000002,0.44800569800569806,2023-10,4
1767,25,2023-07-04,30,1,77.54,Speaker,Electronics,37.5,19,12,8,All-In-One Mart ,Delhi-NCR,Rahul,4,40.5,1215.0,23.25,517.5,0.42592592592592593,2023-07,3
371,25,2023-05-27,23,1,433.57,Speaker,Electronics,37.5,19,12,8,All-In-One Mart ,Delhi-NCR,Rahul,4,39.75,914.25,23.25,379.5,0.41509433962264153,2023-05,2
1422,25,2023-03-02,34,1,311.37,Speaker,Electronics,37.5,19,12,8,All-In-One Mart ,Delhi-NCR,Rahul,4,38.625,1313.25,23.25,522.75,0.39805825242718446,2023-03,1
1871,26,2023-11-24,13,1,174.07,Remote Control Car,Toys,68.92,4,5,1,All-In-One Mart ,Delhi-NCR,Girish,2,69.22324800000001,899.9022240000002,42.7304,344.4070240000001,0.3827160493827161,2023-11,4
1437,26,2023-06-21,9,1,347.64,Remote Control Car,Toys,68.92,4,5,1,All-In-One Mart ,Delhi-NCR,Girish,2,69.6092,626.4828,42.7304,241.90919999999994,0.38613861386138604,2023-06,2
1994,26,2023-05-20,31,1,475.75,Remote Control Car,Toys,68.92,4,5,1,All-In-One Mart ,Delhi-NCR,Girish,2,66.8524,2072.4244,42.7304,747.7819999999997,0.3608247422680411,2023-05,2
104,26,2023-03-17,2,1,126.2,Remote Control Car,Toys,68.92,4,5,1,All-In-One Mart ,Delhi-NCR,Girish,2,64.7848,129.5696,42.7304,44.1088,0.3404255319148936,2023-03,1
