inventory_id,product_id,store_id,current_stock,last_restock_date,restock_quantity,product_name,category,price_per_unit,supplier_id,reorder_point,lead_time,store_name,location,annual_units_sold,annual_sales,annual_profit,sales_days,avg_daily_demand,demand_std,inventory_value,inventory_turnover,days_of_supply,safety_stock,recommended_reorder_point,stock_gap,holding_cost_estimate,stock_status,recommended_order_qty
13,30,3,162,2023-12-27,10,Curtains,Home Goods,62.42,11,16,6,One-Stop Shop,Bengaluru,218.0,13826.6542,5389.967000000001,7.0,0.5972602739726027,8.029706749078104,10112.04,1.3456790123456788,271.23853211009174,33.0,37.0,125.0,1820.1672,Overstock,0.0
14,99,3,23,2023-05-14,45,Honey,Groceries,28.51,9,8,9,One-Stop Shop,Bengaluru,95.0,2756.3239920000005,1077.0849920000003,3.0,0.2602739726027397,20.526405757787536,655.73,4.130434782608696,88.36842105263159,102.0,105.0,-82.0,118.0314,Restock risk,87.0
15,94,2,23,2023-02-03,15,Cookies,Groceries,29.22,13,10,7,Ultimate Retail Hub,Pune,53.0,1621.604808,661.435608,5.0,0.14520547945205478,6.87749954561976,672.06,2.3043478260869565,158.39622641509436,31.0,33.0,-10.0,120.97079999999998,Restock risk,13.0
16,11,3,141,2023-10-02,36,Cheese,Groceries,59.94,6,5,2,One-Stop Shop,Bengaluru,228.0,13756.230000000001,5283.111600000001,7.0,0.6246575342465753,6.579187965525403,8451.539999999999,1.6170212765957448,225.72368421052633,16.0,18.0,123.0,1521.2771999999998,Overstock,0.0
17,87,2,122,2023-01-14,36,Frozen Vegetables,Groceries,33.36,18,10,7,Ultimate Retail Hub,Pune,198.0,6782.835264,2687.5616640000003,5.0,0.5424657534246575,9.016651263079881,4069.92,1.622950819672131,224.8989898989899,40.0,44.0,78.0,732.5856,Overstock,0.0
18,87,1,103,2023-09-22,5,Frozen Vegetables,Groceries,33.36,18,10,7,All-In-One Mart ,Delhi-NCR,151.0,5105.7480000000005,1982.5848000000005,6.0,0.4136986301369863,17.12794986758972,3436.08,1.4660194174757282,248.97350993377484,75.0,78.0,25.0,618.4943999999999,Overstock,0.0
19,96,1,182,2023-10-07,32,Yogurt,Groceries,24.36,9,11,6,All-In-One Mart ,Delhi-NCR,208.0,5229.8971200000005,2088.4315200000005,8.0,0.5698630136986301,15.306394555404426,4433.5199999999995,1.142857142857143,319.375,62.0,66.0,116.0,798.0335999999999,Overstock,0.0
20,96,3,62,2023-12-18,47,Yogurt,Groceries,24.36,9,11,6,One-Stop Shop,Bengaluru,203.0,5016.11376,1950.1641600000003,7.0,0.5561643835616439,16.237815945091466,1510.32,3.274193548387097,111.47783251231526,66.0,70.0,-8.0,271.8576,Restock risk,21.0
21,78,1,155,2023-09-22,33,Fitness Tracker,Electronics,80.46,6,17,8,All-In-One Mart ,Delhi-NCR,46.0,3833.1144000000004,1538.3952000000004,2.0,0.12602739726027398,8.48528137423857,12471.3,0.2967741935483871,1229.891304347826,40.0,42.0,113.0,2244.834,Overstock,0.0
22,98,2,44,2023-03-22,9,Tracksuit,Clothing,35.05,14,17,1,Ultimate Retail Hub,Pune,220.0,7610.57474,2829.7547400000008,8.0,0.6027397260273972,15.95529468770253,1542.1999999999998,5.0,73.0,27.0,28.0,16.0,277.59599999999995,Healthy,0.0
23,18,3,13,2023-06-27,32,Tablet,Electronics,11.63,14,18,5,One-Stop Shop,Bengaluru,155.0,1778.5759000000003,660.9329000000001,6.0,0.4246575342465753,14.414113454065312,151.19,11.923076923076923,30.612903225806452,54.0,57.0,-44.0,27.214199999999998,Restock risk,54.0
24,22,3,28,2023-08-13,26,Jacket,Clothing,81.87,7,13,7,One-Stop Shop,Bengaluru,64.0,5377.352592000001,2128.7509920000007,5.0,0.17534246575342466,7.014271166700073,2292.36,2.2857142857142856,159.6875,31.0,33.0,-5.0,412.6248,Restock risk,9.0
25,70,1,74,2023-11-08,24,Hat,Clothing,92.97,4,16,8,All-In-One Mart ,Delhi-NCR,109.0,10280.287908,3997.375308000001,6.0,0.29863013698630136,14.620761494076383,6879.78,1.472972972972973,247.7981651376147,69.0,72.0,2.0,1238.3603999999998,Overstock,0.0
26,34,2,0,2023-08-10,45,Bananas,Groceries,16.67,17,13,4,Ultimate Retail Hub,Pune,90.0,1632.3397360000004,702.1537360000002,4.0,0.2465753424657534,19.485036994233976,0.0,0.0,0.0,65.0,66.0,-66.0,0.0,Restock risk,73.0
27,28,3,164,2023-10-13,37,Dress,Clothing,54.62,1,17,10,One-Stop Shop,Bengaluru,129.0,7210.9324,2842.4248000000007,4.0,0.35342465753424657,17.55704986607944,8957.68,0.7865853658536585,464.031007751938,92.0,96.0,68.0,1612.3824,Overstock,0.0
28,80,4,14,2023-01-15,27,VR Headset,Electronics,72.81,18,10,7,Everthing and More Store,Chennai,66.0,5330.856960000001,2351.471760000001,2.0,0.18082191780821918,15.556349186104045,1019.34,4.714285714285714,77.42424242424242,68.0,70.0,-56.0,183.4812,Restock risk,60.0
29,59,3,76,2023-01-20,27,Toy Robot,Toys,64.95,7,20,5,One-Stop Shop,Bengaluru,109.0,7218.3351600000005,2829.0141600000006,5.0,0.29863013698630136,13.516656391282572,4936.2,1.4342105263157896,254.4954128440367,50.0,52.0,24.0,888.516,Overstock,0.0
30,45,2,102,2023-02-01,27,Pants,Clothing,73.32,16,8,3,Ultimate Retail Hub,Pune,27.0,2309.052096,1081.675296,1.0,0.07397260273972603,0.0,7478.639999999999,0.2647058823529412,1378.888888888889,0.0,1.0,101.0,1346.1552,Overstock,0.0
31,56,4,50,2023-01-04,10,Coat,Clothing,52.48,15,9,10,Everthing and More Store,Chennai,68.0,3717.284352,1504.7275520000003,3.0,0.1863013698630137,4.725815626252609,2624.0,1.3599999999999999,268.38235294117646,25.0,27.0,23.0,472.32,Overstock,0.0
32,20,4,31,2023-09-17,36,Sweater,Clothing,51.21,17,8,8,Everthing and More Store,Chennai,64.0,3752.013312,1720.0005120000005,2.0,0.17534246575342466,15.556349186104045,1587.51,2.064516129032258,176.796875,73.0,75.0,-44.0,285.7518,Restock risk,48.0
33,99,3,57,2023-01-05,35,Honey,Groceries,28.51,9,8,9,One-Stop Shop,Bengaluru,95.0,2756.3239920000005,1077.0849920000003,3.0,0.2602739726027397,20.526405757787536,1625.0700000000002,1.6666666666666667,219.0,102.0,105.0,-48.0,292.5126,Restock risk,53.0
34,39,3,109,2023-07-12,16,Board Game,Toys,94.21,16,8,7,One-Stop Shop,Bengaluru,72.0,6515.5635999999995,2310.0292,3.0,0.19726027397260273,16.46207763315433,10268.89,0.6605504587155964,552.5694444444445,72.0,74.0,35.0,1848.4001999999998,Overstock,0.0
35,35,1,112,2023-09-26,47,Rug,Home Goods,47.93,16,18,4,All-In-One Mart ,Delhi-NCR,140.0,7262.123536000001,3101.799536000001,4.0,0.3835616438356164,10.801234497346433,5368.16,1.25,292.0,36.0,38.0,74.0,966.2687999999999,Overstock,0.0
36,18,3,191,2023-08-06,32,Tablet,Electronics,11.63,14,18,5,One-Stop Shop,Bengaluru,155.0,1778.5759000000003,660.9329000000001,6.0,0.4246575342465753,14.414113454065312,2221.33,0.8115183246073299,449.77419354838713,54.0,57.0,134.0,399.83939999999996,Overstock,0.0
37,91,2,28,2023-01-12,17,Webcam,Electronics,27.52,7,9,5,Ultimate Retail Hub,Pune,217.0,6181.0250240000005,2478.4842240000003,8.0,0.5945205479452055,11.642747589318056,770.56,7.750000000000001,47.096774193548384,43.0,46.0,-18.0,138.7008,Restock risk,33.0
38,18,4,107,2023-05-02,26,Tablet,Electronics,11.63,14,18,5,Everthing and More Store,Chennai,123.0,1473.5116960000003,586.6078960000001,7.0,0.336986301369863,16.102351203650798,1244.41,1.1495327102803738,317.520325203252,60.0,62.0,45.0,223.9938,Overstock,0.0
39,86,2,122,2023-01-06,47,Bookshelf,Home Goods,85.89,2,7,2,Ultimate Retail Hub,Pune,150.0,13204.591176,5216.8211759999995,6.0,0.410958904109589,13.023056476879766,10478.58,1.2295081967213115,296.8666666666667,31.0,32.0,90.0,1886.1444,Overstock,0.0
40,54,4,140,2023-05-04,36,Sugar,Groceries,61.12,4,17,1,Everthing and More Store,Chennai,125.0,8234.868736,3498.068736000001,6.0,0.3424657534246575,13.22749661374618,8556.8,0.8928571428571429,408.8,22.0,23.0,117.0,1540.2239999999997,Overstock,0.0
41,17,3,192,2023-11-23,30,Bed,Home Goods,5.61,6,20,1,One-Stop Shop,Bengaluru,86.0,508.0617960000001,208.93659600000004,7.0,0.2356164383561644,8.28078671210825,1077.1200000000001,0.44791666666666663,814.8837209302326,14.0,15.0,177.0,193.88160000000002,Overstock,0.0
42,95,4,33,2023-09-24,12,Slime Kit,Toys,12.91,9,18,3,Everthing and More Store,Chennai,148.0,1893.1224000000002,708.5007999999999,4.0,0.4054794520547945,19.42506971244462,426.03000000000003,4.484848484848484,81.38513513513513,56.0,58.0,-25.0,76.6854,Restock risk,36.0
43,3,2,39,2023-02-26,27,Action Figure,Toys,92.94,13,16,7,Ultimate Retail Hub,Pune,112.0,10780.779768,4327.026168,4.0,0.30684931506849317,18.81488772222678,3624.66,2.871794871794872,127.09821428571428,83.0,86.0,-47.0,652.4387999999999,Restock risk,54.0
44,99,2,13,2023-09-01,48,Honey,Groceries,28.51,9,8,9,Ultimate Retail Hub,Pune,147.0,4285.634604000001,1687.2332040000003,6.0,0.40273972602739727,16.643316977093235,370.63,11.307692307692308,32.27891156462585,83.0,87.0,-74.0,66.7134,Restock risk,83.0
45,77,1,111,2023-06-14,35,Blazer,Clothing,7.19,19,20,5,All-In-One Mart ,Delhi-NCR,159.0,1207.1463560000002,498.35615600000006,7.0,0.43561643835616437,11.58611648647187,798.09,1.4324324324324325,254.811320754717,43.0,46.0,65.0,143.6562,Overstock,0.0
46,63,1,194,2023-05-10,32,Yo-Yo,Toys,37.05,16,16,7,All-In-One Mart ,Delhi-NCR,169.0,6330.7335,2448.6345000000006,6.0,0.46301369863013697,15.406708495543969,7187.7,0.8711340206185567,418.9940828402367,68.0,72.0,122.0,1293.7859999999998,Overstock,0.0
47,20,2,63,2023-04-20,22,Sweater,Clothing,51.21,17,8,8,Ultimate Retail Hub,Pune,136.0,6902.5959,2584.5687000000007,4.0,0.3726027397260274,14.023789311975086,3226.23,2.158730158730159,169.08088235294116,66.0,69.0,-6.0,580.7214,Restock risk,15.0
48,34,2,170,2023-02-28,32,Bananas,Groceries,16.67,17,13,4,Ultimate Retail Hub,Pune,90.0,1632.3397360000004,702.1537360000002,4.0,0.2465753424657534,19.485036994233976,2833.9,0.5294117647058824,689.4444444444445,65.0,66.0,104.0,510.102,Overstock,0.0
49,91,1,179,2023-04-16,37,Webcam,Electronics,27.52,7,9,5,All-In-One Mart ,Delhi-NCR,111.0,2868.1344,974.2080000000001,3.0,0.3041095890410959,7.54983443527075,4926.08,0.6201117318435754,588.6036036036036,28.0,30.0,149.0,886.6944,Overstock,0.0
50,25,2,58,2023-10-06,12,Speaker,Electronics,37.5,19,12,8,Ultimate Retail Hub,Pune,131.0,4867.41,1821.66,5.0,0.3589041095890411,16.87305544351704,2175.0,2.2586206896551726,161.6030534351145,79.0,82.0,-24.0,391.5,Restock risk,32.0
51,5,3,49,2023-03-13,14,Laptop,Electronics,99.28,4,17,10,One-Stop Shop,Bengaluru,94.0,9917.833728,4131.795327999999,3.0,0.25753424657534246,6.6583281184793925,4864.72,1.9183673469387754,190.2659574468085,35.0,38.0,11.0,875.6496,Overstock,0.0
52,79,2,23,2023-07-01,8,Stuffed Animal,Toys,33.34,5,8,6,Ultimate Retail Hub,Pune,278.0,9716.2762,3969.7938000000004,9.0,0.7616438356164383,9.701088140570166,766.82,12.08695652173913,30.197841726618705,40.0,45.0,-22.0,138.0276,Restock risk,40.0
53,68,3,179,2023-07-14,45,Gloves,Clothing,25.72,7,5,6,One-Stop Shop,Bengaluru,129.0,3475.33784,1418.2522400000003,5.0,0.35342465753424657,13.553597308463905,4603.88,0.7206703910614525,506.47286821705427,55.0,58.0,121.0,828.6984,Overstock,0.0
54,44,4,122,2023-04-08,8,Monitor,Electronics,20.22,11,17,5,Everthing and More Store,Chennai,181.0,3633.0487200000002,1363.9603200000004,8.0,0.4958904109589041,13.553465555769439,2466.8399999999997,1.4836065573770492,246.0220994475138,51.0,54.0,68.0,444.03119999999996,Overstock,0.0
55,83,1,77,2023-09-14,12,External Hard Drive,Electronics,22.16,20,10,1,All-In-One Mart ,Delhi-NCR,92.0,2224.411936,960.4055360000001,6.0,0.25205479452054796,16.268579122549905,1706.32,1.1948051948051948,305.48913043478257,27.0,28.0,49.0,307.13759999999996,Overstock,0.0
56,36,3,182,2023-05-12,31,Game Console,Electronics,98.69,11,5,6,One-Stop Shop,Bengaluru,250.0,25760.419084,10463.469084,8.0,0.684931506849315,17.534093773116545,17961.579999999998,1.3736263736263739,265.72,71.0,76.0,106.0,3233.0843999999997,Overstock,0.0
57,7,2,10,2023-04-11,5,Milk,Groceries,72.37,12,6,7,Ultimate Retail Hub,Pune,116.0,9018.633608,3813.783208,5.0,0.3178082191780822,11.734564329364769,723.7,11.6,31.465517241379306,52.0,55.0,-45.0,130.266,Restock risk,52.0
58,96,3,54,2023-01-22,23,Yogurt,Groceries,24.36,9,11,6,One-Stop Shop,Bengaluru,203.0,5016.11376,1950.1641600000003,7.0,0.5561643835616439,16.237815945091466,1315.44,3.759259259259259,97.0935960591133,66.0,70.0,-16.0,236.7792,Restock risk,29.0
59,78,1,110,2023-08-09,16,Fitness Tracker,Electronics,80.46,6,17,8,All-In-One Mart ,Delhi-NCR,46.0,3833.1144000000004,1538.3952000000004,2.0,0.12602739726027398,8.48528137423857,8850.599999999999,0.4181818181818182,872.8260869565216,40.0,42.0,68.0,1593.1079999999997,Overstock,0.0
60,47,3,77,2023-05-16,12,Skirt,Clothing,93.52,20,7,6,One-Stop Shop,Bengaluru,122.0,11364.5504,4290.6975999999995,4.0,0.33424657534246577,14.617341299520465,7201.04,1.5844155844155843,230.36885245901638,60.0,63.0,14.0,1296.1871999999998,Overstock,0.0
61,2,2,84,2023-02-22,28,Smartphone,Electronics,6.22,17,16,8,Ultimate Retail Hub,Pune,100.0,646.106232,260.46623200000005,4.0,0.273972602739726,8.286535263104035,522.48,1.1904761904761905,306.6,39.0,42.0,42.0,94.0464,Overstock,0.0
62,47,3,60,2023-12-26,46,Skirt,Clothing,93.52,20,7,6,One-Stop Shop,Bengaluru,122.0,11364.5504,4290.6975999999995,4.0,0.33424657534246577,14.617341299520465,5611.2,2.033333333333333,179.50819672131146,60.0,63.0,-3.0,1010.016,Restock risk,11.0
63,75,4,22,2023-05-07,11,Toy Boat,Toys,31.15,15,16,1,Everthing and More Store,Chennai,129.0,4007.7714600000004,1516.3944600000004,7.0,0.35342465753424657,18.14623140725683,685.3,5.863636363636364,62.248062015503876,30.0,31.0,-9.0,123.35399999999998,Restock risk,19.0
64,96,1,10,2023-03-21,42,Yogurt,Groceries,24.36,9,11,6,All-In-One Mart ,Delhi-NCR,208.0,5229.8971200000005,2088.4315200000005,8.0,0.5698630136986301,15.306394555404426,243.6,20.8,17.548076923076923,62.0,66.0,-56.0,43.848,Restock risk,70.0
65,25,2,180,2023-11-27,33,Speaker,Electronics,37.5,19,12,8,Ultimate Retail Hub,Pune,131.0,4867.41,1821.66,5.0,0.3589041095890411,16.87305544351704,6750.0,0.7277777777777777,501.52671755725186,79.0,82.0,98.0,1215.0,Overstock,0.0
66,70,3,77,2023-02-03,35,Hat,Clothing,92.97,4,16,8,One-Stop Shop,Bengaluru,61.0,5805.0468,2288.921400000001,3.0,0.16712328767123288,16.258331197676267,7158.69,0.7922077922077922,460.73770491803276,76.0,78.0,-1.0,1288.5641999999998,Restock risk,5.0
67,93,2,11,2023-04-18,13,Pillow,Home Goods,31.35,20,18,2,Ultimate Retail Hub,Pune,166.0,5395.773900000001,2169.2319000000007,7.0,0.4547945205479452,13.047532151257387,344.85,15.090909090909092,24.186746987951807,31.0,32.0,-21.0,62.073,Restock risk,34.0
68,71,3,194,2023-04-14,40,Belt,Clothing,94.78,4,15,10,One-Stop Shop,Bengaluru,85.0,8053.6082480000005,3058.7022480000005,6.0,0.2328767123287671,14.372427306014341,18387.32,0.4381443298969072,833.0588235294118,75.0,78.0,116.0,3309.7176,Overstock,0.0
69,58,1,111,2023-06-12,9,Pasta,Groceries,99.08,4,13,10,All-In-One Mart ,Delhi-NCR,80.0,8714.046368,3799.678368000001,3.0,0.2191780821917808,16.010413278030438,10997.88,0.7207207207207207,506.4375,84.0,87.0,24.0,1979.6183999999998,Overstock,0.0
70,68,1,42,2023-08-14,43,Gloves,Clothing,25.72,7,5,6,All-In-One Mart ,Delhi-NCR,141.0,3609.4522079999997,1361.0098080000002,6.0,0.3863013698630137,17.52426888631877,1080.24,3.357142857142857,108.72340425531914,71.0,74.0,-32.0,194.4432,Restock risk,41.0
71,17,3,11,2023-05-23,41,Bed,Home Goods,5.61,6,20,1,One-Stop Shop,Bengaluru,86.0,508.0617960000001,208.93659600000004,7.0,0.2356164383561644,8.28078671210825,61.71,7.818181818181818,46.68604651162791,14.0,15.0,-4.0,11.1078,Restock risk,11.0
72,89,2,189,2023-01-26,30,Toy Plane,Toys,18.29,16,15,9,Ultimate Retail Hub,Pune,175.0,3105.1371959999997,1120.672196,6.0,0.4794520547945205,15.561705133649932,3456.81,0.9259259259259259,394.20000000000005,78.0,83.0,106.0,622.2257999999999,Overstock,0.0
73,69,1,42,2023-08-22,33,Spices,Groceries,14.69,5,17,7,All-In-One Mart ,Delhi-NCR,287.0,4263.719615999999,1649.7810160000001,10.0,0.7863013698630137,12.745805410234208,616.98,6.833333333333333,53.41463414634146,56.0,62.0,-20.0,111.0564,Restock risk,38.0
74,72,4,102,2023-09-13,43,Action Figure Set,Toys,97.12,13,12,1,Everthing and More Store,Chennai,223.0,21941.039616000002,8513.228416,7.0,0.6109589041095891,10.915257997081751,9906.24,2.186274509803922,166.9506726457399,19.0,20.0,82.0,1783.1232,Overstock,0.0
75,24,1,40,2023-05-07,41,Smartwatch,Electronics,32.85,13,8,5,All-In-One Mart ,Delhi-NCR,117.0,3978.7263000000003,1595.7873000000004,3.0,0.32054794520547947,13.45362404707371,1314.0,2.9250000000000003,124.78632478632478,50.0,52.0,-12.0,236.51999999999998,Restock risk,20.0
76,90,1,131,2023-04-19,34,Picture Frame,Home Goods,62.59,17,11,2,All-In-One Mart ,Delhi-NCR,236.0,14838.086120000002,5679.9173200000005,10.0,0.6465753424657534,10.844353369380768,8199.29,1.801526717557252,202.60593220338984,26.0,28.0,103.0,1475.8722,Overstock,0.0
77,93,3,77,2023-09-23,19,Pillow,Home Goods,31.35,20,18,2,One-Stop Shop,Bengaluru,208.0,6742.5699,2699.6739000000007,7.0,0.5698630136986301,13.597969036027472,2413.9500000000003,2.701298701298701,135.12019230769232,32.0,34.0,43.0,434.511,Overstock,0.0
78,35,1,43,2023-05-23,19,Rug,Home Goods,47.93,16,18,4,All-In-One Mart ,Delhi-NCR,140.0,7262.123536000001,3101.799536000001,4.0,0.3835616438356164,10.801234497346433,2060.99,3.2558139534883725,112.10714285714286,36.0,38.0,5.0,370.97819999999996,Healthy,0.0
79,31,3,10,2023-01-18,45,Desk,Home Goods,82.6,12,17,7,One-Stop Shop,Bengaluru,164.0,14928.628400000001,6529.860400000001,6.0,0.44931506849315067,16.753109164172084,826.0,16.4,22.25609756097561,74.0,78.0,-68.0,148.68,Restock risk,78.0
80,18,3,13,2023-03-09,46,Tablet,Electronics,11.63,14,18,5,One-Stop Shop,Bengaluru,155.0,1778.5759000000003,660.9329000000001,6.0,0.4246575342465753,14.414113454065312,151.19,11.923076923076923,30.612903225806452,54.0,57.0,-44.0,27.214199999999998,Restock risk,54.0
81,27,1,0,2023-04-27,46,Lamp,Home Goods,76.42,1,6,2,All-In-One Mart ,Delhi-NCR,70.0,5795.876208,2479.248208,2.0,0.1917808219178082,4.242640687119285,0.0,0.0,0.0,10.0,11.0,-11.0,0.0,Restock risk,16.0
82,78,3,83,2023-06-21,10,Fitness Tracker,Electronics,80.46,6,17,8,One-Stop Shop,Bengaluru,368.0,29661.321528,11303.567928,9.0,1.0082191780821919,8.978369067437088,6678.179999999999,4.433734939759036,82.32336956521739,42.0,51.0,32.0,1202.0723999999998,Healthy,0.0
83,34,2,104,2023-12-18,44,Bananas,Groceries,16.67,17,13,4,Ultimate Retail Hub,Pune,90.0,1632.3397360000004,702.1537360000002,4.0,0.2465753424657534,19.485036994233976,1733.6800000000003,0.8653846153846153,421.7777777777778,65.0,66.0,38.0,312.0624,Overstock,0.0
84,8,1,91,2023-05-11,19,Lego Set,Toys,74.89,8,20,1,All-In-One Mart ,Delhi-NCR,40.0,2846.5689,989.2968999999999,2.0,0.1095890410958904,15.556349186104045,6814.99,0.43956043956043955,830.375,26.0,27.0,64.0,1226.6981999999998,Overstock,0.0
85,23,3,4,2023-12-09,39,Doll,Toys,64.55,20,8,3,One-Stop Shop,Bengaluru,115.0,7897.25356,3294.83856,4.0,0.3150684931506849,9.844626283748239,258.2,28.75,12.695652173913045,29.0,30.0,-26.0,46.476,Restock risk,35.0
86,100,1,184,2023-11-28,49,Power Bank,Electronics,69.98,14,7,6,All-In-One Mart ,Delhi-NCR,18.0,1196.6580000000001,415.6812000000001,1.0,0.049315068493150684,0.0,12876.320000000002,0.09782608695652173,3731.1111111111113,0.0,1.0,183.0,2317.7376000000004,Overstock,0.0
87,33,2,113,2023-07-21,19,TV,Electronics,48.41,13,9,1,Ultimate Retail Hub,Pune,178.0,8889.14102,3546.61342,6.0,0.4876712328767123,20.1262680759913,5470.33,1.575221238938053,231.71348314606743,34.0,35.0,78.0,984.6594,Overstock,0.0
88,27,4,39,2023-06-09,33,Lamp,Home Goods,76.42,1,6,2,Everthing and More Store,Chennai,112.0,8593.429,3286.8242000000005,6.0,0.30684931506849317,16.083117442419756,2980.38,2.871794871794872,127.09821428571428,38.0,39.0,0.0,536.4684,Restock risk,9.0
89,93,4,94,2023-04-24,14,Pillow,Home Goods,31.35,20,18,2,Everthing and More Store,Chennai,171.0,5458.662,2134.9350000000004,6.0,0.4684931506849315,13.352902306240393,2946.9,1.819148936170213,200.64327485380116,32.0,33.0,61.0,530.442,Overstock,0.0
90,64,2,117,2023-08-03,16,Magic Set,Toys,11.82,10,14,4,Ultimate Retail Hub,Pune,113.0,1403.5068,575.3976,5.0,0.3095890410958904,14.08190328045183,1382.94,0.9658119658119658,377.92035398230087,47.0,49.0,68.0,248.9292,Overstock,0.0
91,73,4,186,2023-03-07,16,Smart Home Device,Electronics,27.88,16,14,10,Everthing and More Store,Chennai,255.0,7299.20704,2891.3790400000007,10.0,0.6986301369863014,12.349089035228468,5185.679999999999,1.370967741935484,266.2352941176471,65.0,72.0,114.0,933.4223999999998,Overstock,0.0
92,3,3,41,2023-11-10,16,Action Figure,Toys,92.94,13,16,7,One-Stop Shop,Bengaluru,88.0,8230.7664,3159.960000000001,3.0,0.2410958904109589,10.785793124908958,3810.54,2.146341463414634,170.0568181818182,48.0,50.0,-9.0,685.8972,Restock risk,15.0
93,78,2,17,2023-07-22,14,Fitness Tracker,Electronics,80.46,6,17,8,Ultimate Retail Hub,Pune,155.0,12661.9902,4929.7842,5.0,0.4246575342465753,12.98075498574717,1367.82,9.117647058823529,40.03225806451613,61.0,65.0,-48.0,246.20759999999999,Restock risk,57.0
94,32,4,165,2023-02-14,30,Oranges,Groceries,10.44,12,15,2,Everthing and More Store,Chennai,117.0,1204.070256,446.7526560000001,6.0,0.32054794520547947,14.529280780547948,1722.6,0.7090909090909091,514.7435897435897,34.0,35.0,130.0,310.068,Overstock,0.0
95,68,2,186,2023-02-24,5,Gloves,Clothing,25.72,7,5,6,Ultimate Retail Hub,Pune,43.0,1024.602496,338.9072960000001,2.0,0.1178082191780822,27.577164466275352,4783.92,0.23118279569892475,1578.8372093023256,112.0,113.0,73.0,861.1056,Overstock,0.0
